,email,tdm_url,time_stamp,mine_method,doi
0,meduniwien.ac.at,https://api.elsevier.com/content/article/PII:S1740674914000158?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ddtec.2014.03.009
1,bruker.com,http://link.springer.com/article/10.1007/s11837-018-2752-0/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11837-018-2752-0
2,ohsu.edu,https://api.elsevier.com/content/article/PII:S1463500315002437?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ocemod.2015.12.007
3,cox.net, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s13752-016-0244-4
4,amc.uva.nl,http://link.springer.com/article/10.1007/s11764-018-0690-z/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.1007/s11764-018-0690-z
5,northumbria.ac.uk,http://link.springer.com/article/10.1007/s00170-017-1216-y/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s00170-017-1216-y
6,aok.pte.hu,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Felps.201800378,2019-01-03 18:07:39,Wiley PDF,10.1002/elps.201800378
7,ed.ac.uk,https://api.elsevier.com/content/article/PII:S0167587718302435?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.prevetmed.2018.09.010
8,mentalhealth.org.uk,https://api.elsevier.com/content/article/PII:S0165032718301381?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jad.2018.05.010
9,biofilm.montana.edu, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00253-017-8724-4
10,student.bham.ac.uk,https://api.elsevier.com/content/article/PII:S0272884218318078?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ceramint.2018.07.079
11,cam.ac.uk,http://link.springer.com/article/10.1007/s10708-016-9719-x/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s10708-016-9719-x
12,gmail.com,http://link.springer.com/article/10.1007/s13146-017-0399-5/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s13146-017-0399-5
13,uni-koeln.de, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1042/bst20170265
14,icddrb.org,https://api.elsevier.com/content/article/PII:S1473309918301087?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/s1473-3099(18)30108-7
15,hc-sc.gc.ca, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00204-016-1891-8
16,rmit.edu.au,https://api.elsevier.com/content/article/PII:S0168192317302496?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.agrformet.2017.07.027
17,nasa.gov,http://link.springer.com/article/10.1007/s11214-018-0559-5/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.1007/s11214-018-0559-5
18,imperial.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/brain/awx354
19,medicine.tamhsc.edu,https://api.elsevier.com/content/article/PII:S0896841117301555?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jaut.2017.09.002
20,126.com,https://api.elsevier.com/content/article/PII:S0022510X16305731?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jns.2016.09.024
21,wip.pcz.pl,http://link.springer.com/article/10.1007/s12598-017-0917-6/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s12598-017-0917-6
22,ing.uc3m.es, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s10494-017-9869-z
23,wur.nl,https://api.elsevier.com/content/article/PII:S0043135418304846?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.watres.2018.06.034
24,greenwich.ac.uk,https://api.elsevier.com/content/article/PII:S0981942816301917?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.plaphy.2016.05.021
25,leeds.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1111/bju.14368
26,liv.ac.uk,https://api.elsevier.com/content/article/PII:S030442031500064X?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.marchem.2015.03.010
27,ucar.edu,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2F2016GL071892,2019-01-14 09:48:52,Wiley PDF,10.1002/2016gl071892
28,agh.edu.pl,http://link.springer.com/article/10.1007/s11784-016-0288-x/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11784-016-0288-x
29,nii.ac.jp,https://api.elsevier.com/content/article/PII:S0303264717300692?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.biosystems.2017.07.007
30,gmail.com,https://api.elsevier.com/content/article/PII:S0378779615000693?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.epsr.2015.03.009
31,imbe.fr,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fnph.15502,2019-01-03 18:07:39,Wiley PDF,10.1111/nph.15502
32,bris.ac.uk,http://link.springer.com/article/10.1007/s10649-018-9815-6/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s10649-018-9815-6
33,uva.nl,http://link.springer.com/article/10.1007/s11005-016-0928-5/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11005-016-0928-5
34,rhul.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00248-018-1160-x
35,ec.europa.eu,http://link.springer.com/article/10.1007/s11187-018-0017-5/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11187-018-0017-5
36,research.fchampalimaud.org, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/cercor/bhx359
37,strath.ac.uk,https://api.elsevier.com/content/article/PII:S1549963415000957?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.nano.2015.04.006
38,stjude.org,https://api.elsevier.com/content/article/PII:S0969212617301314?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.str.2017.04.013
39,wp.pl,http://link.springer.com/article/10.1007/s00190-018-1216-1/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s00190-018-1216-1
40,houstonmethodist.org,https://api.elsevier.com/content/article/PII:S0161642017317840?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ophtha.2017.09.001
41,tin.it,https://api.elsevier.com/content/article/PII:S1547527116307548?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.hrthm.2016.09.008
42,icloud.com,https://www.tandfonline.com/doi/pdf/10.1080/09654313.2018.1425376,2019-01-12 15:11:32,Informa TDM,10.1080/09654313.2018.1425376
43,uic.edu,https://api.elsevier.com/content/article/PII:S0300957213003420?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.resuscitation.2013.06.019
44,houstonmethodist.org, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s11605-017-3379-0
45,univie.ac.at, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1021/acsnano.6b08287
46,mcgill.ca, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00335-018-9772-5
47,erasmusmc.nl,https://api.elsevier.com/content/article/PII:S0928098717300490?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ejps.2017.01.025
48,yokohama-cu.ac.jp,https://api.elsevier.com/content/article/PII:S1368837518300472?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.oraloncology.2018.02.002
49,kuleuven.be,https://api.elsevier.com/content/article/PII:S0305750X18300871?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.worlddev.2018.03.006
50,pangaea.de,https://api.elsevier.com/content/article/PII:S0168165617315419?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jbiotec.2017.07.016
51,gic.se, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s13181-016-0584-2
52,duke.edu, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/infdis/jiy008
53,glasgow.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1042/bcj20170184
54,nioz.nl,https://api.elsevier.com/content/article/PII:S0006320714000500?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.biocon.2014.01.038
55,uclouvain.be,https://api.elsevier.com/content/article/PII:S0959804914002536?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ejca.2014.03.010
56,sggw.pl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s11627-016-9781-6
57,amc.uva.nl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00167-016-4062-9
58,utoronto.ca,https://api.elsevier.com/content/article/PII:S1386505617304252?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ijmedinf.2017.11.011
59,imperial.ac.uk,https://api.elsevier.com/content/article/PII:S0959440X1400075X?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.sbi.2014.07.003
60,ubc.ca,https://api.elsevier.com/content/article/PII:S0006320716305328?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.biocon.2016.10.006
61,hsph.harvard.edu, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/cid/ciy097
62,ifom.eu,https://api.elsevier.com/content/article/PII:S1568786414002195?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.dnarep.2014.08.003
63,ubc.ca,https://api.elsevier.com/content/article/PII:S0034425718303572?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.rse.2018.07.024
64,cardiov.ox.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1002/mrm.26213
65,fsw.leidenuniv.nl,http://link.springer.com/article/10.3758/s13423-018-1432-y/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.3758/s13423-018-1432-y
66,scp.nl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s10680-016-9391-3
67,tuhh.de,https://api.elsevier.com/content/article/PII:S0022509615300995?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jmps.2016.02.018
68,bartshealth.nhs.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00441-017-2576-1
69,unich.it,https://api.elsevier.com/content/article/PII:S0168365918301378?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jconrel.2018.03.016
70,umd.edu,https://api.elsevier.com/content/article/PII:S1742706115302646?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.actbio.2015.12.026
71,wa.amu.edu.pl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s10936-017-9552-5
72,exponent.com,https://api.elsevier.com/content/article/PII:S089062381730103X?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.reprotox.2017.05.012
73,dwc.doshisha.ac.jp,https://api.elsevier.com/content/article/PII:S1083879116302245?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.bbmt.2016.07.008
74,uhn.ca,http://stacks.iop.org/1741-2552/15/i=4/a=046034?key=crossref.a5e82637df2db30331cd72adb40421fd,2019-01-07 11:01:01,IOP TDM,10.1088/1741-2552/aacb96
75,uva.nl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.3758/s13428-018-1046-3
76,ucc.ie, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s11051-016-3683-8
77,amc.uva.nl,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fadd.14500,2019-01-14 09:48:52,Wiley PDF,10.1111/add.14500
78,durham.ac.uk,https://api.elsevier.com/content/article/PII:S0305440313001362?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jas.2013.04.012
79,adm.cgmh.org.tw, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s12032-018-1181-9
80,gmail.com,http://link.springer.com/article/10.1007/s11625-018-0636-4/fulltext.html,2018-12-18 08:00:29,Springer HTML,10.1007/s11625-018-0636-4
81, ,https://api.elsevier.com/content/article/PII:S0032063316301623?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.pss.2016.11.007
82,ncl.ac.uk,https://api.elsevier.com/content/article/PII:S0925443916300023?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.bbadis.2016.01.015
83,crc.jussieu.fr,https://api.elsevier.com/content/article/PII:S0014482715301038?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.yexcr.2015.09.018
84,surg1.med.osaka-u.ac.jp,https://api.elsevier.com/content/article/PII:S1525001618303836?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.ymthe.2018.08.012
85,lanl.gov,http://harvest.aps.org/v2/journals/articles/10.1103/PhysRevLett.120.211804/fulltext,2019-01-12 15:15:16,APS TDM,10.1103/physrevlett.120.211804
86, ,http://harvest.aps.org/v2/journals/articles/10.1103/PhysRevD.91.119901/fulltext,2019-01-12 15:15:16,APS TDM,10.1103/physrevd.91.119901
87,email.arizona.edu,https://api.elsevier.com/content/article/PII:S0306452218300770?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.neuroscience.2018.01.047
88,iiphg.org,https://api.elsevier.com/content/article/PII:S003335061500270X?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.puhe.2015.07.010
89,jaredreser.com,https://api.elsevier.com/content/article/PII:S0306987716305801?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.mehy.2016.12.005
90,zoetis.com,https://api.elsevier.com/content/article/PII:S0165242713002948?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.vetimm.2013.10.017
91,amc.nl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00464-015-4694-8
92,yahoo.com,https://api.elsevier.com/content/article/PII:S0960076016301029?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.jsbmb.2016.04.006
93,bc3research.org,https://api.elsevier.com/content/article/PII:S1462901117309978?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.envsci.2018.01.017
94,vumc.nl, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s00520-016-3148-8
95,Outlook.com,http://link.springer.com/article/10.1007/s12035-018-1131-8/fulltext.html,2019-01-04 14:40:57,Springer HTML,10.1007/s12035-018-1131-8
96,nhs.net,https://api.elsevier.com/content/article/PII:S1424390317300686?httpAccept=text/xml,2018-12-17 16:06:12,Elsevier XML,10.1016/j.pan.2017.04.002
97,ki.se, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1017/s0033291718000375
98,mmu.ac.uk, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1093/jn/nxy185
99,who-umc.org, ,2018-12-16 12:29:19,PMC OAI (NIH),10.1007/s40264-016-0456-3
